id,county
3185,Hudson County
3186,Hudson County
3187,Hudson County
3188,Hudson County
3189,Hudson County
3190,Hudson County
3191,Hudson County
3192,Hudson County
3193,Hudson County
3194,Hudson County
3195,Hudson County
3196,Hudson County
3197,Hudson County
3198,Hudson County
3199,Hudson County
3200,Hudson County
3201,Hudson County
3202,Hudson County
3203,Hudson County
3205,Hudson County
3206,Hudson County
3207,Hudson County
3209,Hudson County
3210,Hudson County
3211,Hudson County
3212,Hudson County
3213,Hudson County
3214,Hudson County
3215,Hudson County
3216,Hudson County
3217,Hudson County
3220,Hudson County
3221,Queens County
3222,Kings County
3223,New York County
3224,New York County
3225,Hudson County
3226,New York County
3229,Kings County
3230,New York County
3231,New York County
3232,Kings County
